,Price,# of Beds,# of Baths,sqft,Address,City
84,"$375,000",4bd,3ba,"2,460 sqft",7536 Crested Butte Dr,"Plano, TX"
85,"$370,000",3bd,3ba,"2,208 sqft",3501 Deep Valley Trl,"Plano, TX"
86,"$399,999",3bd,2ba,"1,628 sqft",1400 Kittery Dr,"Plano, TX"
87,"$700,000",4bd,3ba,"2,871 sqft",1809 Triple Crown Ln,"Plano, TX"
88,"$364,900",3bd,3ba,"2,276 sqft",1505 Baffin Bay Dr,"Plano, TX"
89,"$489,900",4bd,4ba,"3,466 sqft",6841 Flicker Ln,"Plano, TX"
90,"$287,900",4bd,3ba,"2,736 sqft",13644 Cherokee Ranch Rd,"The Ranches, Roanoke, TX"
91,"$178,000",3bd,2ba,"1,439 sqft",5204 Ruston Ave,"Fort Worth, TX"
92,"$244,900",4bd,3ba,"1,896 sqft",1804 Glenmore Ave,"Greenway, Fort Worth, TX"
93,"$225,000",3bd,2ba,"1,639 sqft",7105 Lindentree Ln,"Basswood Park, Fort Worth, TX"
94,"$229,900",4bd,3ba,"1,710 sqft",5263 Meadowbrook Dr,"Central Meadowbrook, Fort Worth, TX"
95,"$189,900",3bd,3ba,"1,344 sqft",1035 E Harvey Ave,"Hillside Morningside, Fort Worth, TX"
96,"$349,900",6bd,4ba,"4,519 sqft",7955 Mellie Ct,"Hulen Heights, Fort Worth, TX"
97,"$315,000",5bd,4ba,"3,697 sqft",4925 Cedar Brush Dr,"Fort Worth, TX"
98,"$175,000",3bd,2ba,"1,070 sqft",10137 Lone Eagle Dr,"Falcon Ridge, Fort Worth, TX"
99,"$219,900",4bd,3ba,"2,363 sqft",313 Rock Prairie Ln,"The Parks of Deer Creek, Fort Worth, TX"
100,"$310,000",4bd,3ba,"3,291 sqft",10469 Evening View Dr,"Fort Worth, TX"
101,"$220,000",3bd,2ba,"1,450 sqft",8013 Summer Sun Dr,"Summerfields, Fort Worth, TX"
102,"$199,900",4bd,2ba,"1,626 sqft",7600 Kell Dr,"Handley, Fort Worth, TX"
103,"$209,900",3bd,2ba,"1,420 sqft",1729 Cedar Tree Dr,"Fort Worth, TX"
104,"$199,000",3bd,2ba,"2,008 sqft",1508 Meadow Lane Ter,"Harmony, Fort Worth, TX"
105,"$235,000",4bd,3ba,"1,925 sqft",1328 Nicole Way,"Garden Acres, Burleson, TX"
106,"$349,900",4bd,3ba,"2,621 sqft",2613 Twinflower Dr,"Villages of Woodland Springs, Fort Worth, TX"
107,"$190,000",3bd,2ba,"1,533 sqft",3417 Glenmont Dr,"Wedgwood, Fort Worth, TX"
108,"$215,000",3bd,2ba,"1,557 sqft",5128 Cliff Oaks Dr,"Saginaw, TX"
109,"$300,000",3bd,2ba,"1,854 sqft",9104 Tyne Trl,"River Trails, Fort Worth, TX"
110,"$209,000",3bd,2ba,"1,205 sqft",2700 W Fuller Ave,"South Hills, Fort Worth, TX"
111,"$275,000",4bd,4ba,"2,838 sqft",3114 Rosen Ave,"Far Greater Northside, Fort Worth, TX"
112,"$520,000",2bd,2ba,"2,089 sqft",3817 White Settlement Rd,"Monticello, Fort Worth, TX"
113,"$279,000",4bd,3ba,"2,700 sqft",10445 Evening View Dr,"Fort Worth, TX"
114,"$340,000",4bd,3ba,"2,216 sqft",7245 Laguna Del Campo Trl,"Fort Worth, TX"
115,"$550,000",5bd,3ba,"3,072 sqft",9633 Ben Hogan Ln,"Heritage, Fort Worth, TX"
116,"$238,500",4bd,2ba,"1,809 sqft",10920 Deauville Cir N,"Fort Worth, TX"
117,"$199,900",3bd,2ba,"1,320 sqft",2616 Countryside Ln,"Fort Worth, TX"
118,"$250,000",3bd,3ba,"1,926 sqft",9132 Quarry Ridge Trl,"Fort Worth, TX"
119,"$275,000",4bd,3ba,"2,470 sqft",14109 Rabbit Brush Ln,"Sendera Ranch, Haslet, TX"
120,"$185,500",3bd,2ba,"1,440 sqft",1609 Axe Dr,"Almeta,Bonita, Bella Vista, Garland, TX"
121,"$295,900",4bd,2ba,"1,969 sqft",2722 Princewood Dr,"Coomer Creek, Garland, TX"
122,"$225,000",4bd,2ba,"1,482 sqft",822 Westbrook Dr,"Garland, TX"
123,"$479,900",4bd,4ba,"3,056 sqft",801 Royal Birkdale Dr,"Garland, TX"
124,"$259,000",3bd,3ba,"1,904 sqft",4806 Snowdrop Dr,"Garland, TX"
125,"$255,000",4bd,2ba,"2,068 sqft",2906 Branch Oaks Dr,"Oaks, Garland, TX"
126,"$225,000",3bd,3ba,"1,840 sqft",2406 Mira Dr,"Brentwood Place, Garland, TX"
127,"$320,000",3bd,3ba,"2,358 sqft",4726 Maritime Cv,"Garland, TX"
128,"$240,000",3bd,2ba,"1,567 sqft",4006 Bucknell Dr,"Garland, TX"
129,"$206,900",3bd,2ba,"1,695 sqft",6310 Green Valley Dr,"Oaks, Garland, TX"
130,"$399,000",5bd,4ba,"4,143 sqft",1513 Surrey Ct,"Garland, TX"
131,"$234,900",3bd,2ba,"1,350 sqft",2005 High Summit Dr,"Garland, TX"
132,"$199,900",3bd,2ba,"1,277 sqft",3229 Old Orchard Rd,"Garland, TX"
133,"$270,000",3bd,2ba,"1,480 sqft",3142 Lariat Ln,"Garland, TX"
134,"$159,950",3bd,1ba,914 sqft,1504 Lakewood Dr,"Garland, TX"
135,"$239,000",3bd,3ba,"1,763 sqft",1314 Deville Cir,"Garland, TX"
136,"$360,000",4bd,3ba,"3,233 sqft",5018 Hidden Creek Rd,"Garland, TX"
137,"$260,000",3bd,2ba,"1,350 sqft",2826 Geneva Dr,"Northeast Garland, Garland, TX"
138,"$179,900",2bd,2ba,"1,348 sqft",2224 Limestone Ln,"Coomer Creek, Garland, TX"
139,"$279,000",3bd,2ba,"1,571 sqft",4506 Cornell Dr,"Garland, TX"
140,"$399,997",4bd,4ba,"3,425 sqft",2806 Knightsbridge Ln,"Keningston Gardens, Garland, TX"
141,"$379,900",3bd,3ba,"2,810 sqft",1822 McClary St,"Garland, TX"
142,"$230,000",3bd,2ba,"1,219 sqft",4333 Hanover Dr,"Garland, TX"
143,"$304,900",4bd,2ba,"2,088 sqft",1125 Gardengate Cir,"Garland, TX"
144,"$245,000",3bd,2ba,"1,469 sqft",2817 Royalty Dr,"Camelot, Garland, TX"
145,"$238,900",3bd,2ba,"1,898 sqft",3238 Knights Haven Ln,"Camelot, Garland, TX"
146,"$975,000",7bd,8ba,"8,897 sqft",2817 Country Valley Rd,"Garland, TX"
147,"$219,900",4bd,2ba,"1,238 sqft",418 Rosewood Hills Dr,"Garland, TX"
148,"$319,000",4bd,3ba,"2,432 sqft",2209 Villawood Ln,"Garland, TX"
149,"$375,000",4bd,4ba,"3,391 sqft",2909 Club Meadow Dr,"Garland, TX"
150,"$349,900",3bd,2ba,"1,897 sqft",1026 Pedernales Trl,"Valley Ranch, Irving, TX"
151,"$269,999",3bd,2ba,"2,014 sqft",1726 Cypress Dr,"Irving Heights, Irving, TX"
152,"$287,500",3bd,2ba,"1,713 sqft",1840 Pilgrim Dr,"Plymouth Park, Irving, TX"
153,"$229,500",4bd,3ba,"1,971 sqft",3221 Parker St,"Belt Line, Irving, TX"
154,"$284,950",4bd,2ba,"1,689 sqft",1422 Addington St,"MacArthur, Irving, TX"
155,"$325,000",4bd,2ba,"1,958 sqft",3829 Twin Falls St,"Northwest, Irving, TX"
156,"$480,000",3bd,4ba,"2,463 sqft",8710 Broken Point Dr,"Valley Ranch, Irving, TX"
157,"$349,990",3bd,3ba,"2,046 sqft",309 Sheridan Trl,"Valley Ranch, Irving, TX"
158,"$299,000",3bd,3ba,"2,210 sqft",700 Irongate Cir,"Running Bear, Irving, TX"
159,"$1,500,000",4bd,7ba,"8,418 sqft",305 Steeplechase Dr,"Las Colinas, Irving, TX"
160,"$250,000",4bd,2ba,"1,431 sqft",1011 Belew St,"Irving Heights, Irving, TX"
161,"$325,000",4bd,3ba,"2,874 sqft",1319 Glenbrook Dr,"Plymouth Park, Irving, TX"
162,"$215,000",3bd,2ba,"1,164 sqft",2621 Marta Dr,"Running Bear, Irving, TX"
163,"$365,000",3bd,3ba,"2,220 sqft",452 Richmond St,"Valley Ranch, Irving, TX"
164,"$217,000",3bd,2ba,"1,125 sqft",2508 W Rochelle Rd,"Belt Line, Irving, TX"
165,"$275,000",5bd,4ba,"2,279 sqft",905 Bower Dr,"Irving Heights, Irving, TX"
166,"$465,000",5bd,4ba,"3,144 sqft",700 Cedar Elm Ct,"Freeport/Hackberry, Irving, TX"
167,"$275,000",3bd,2ba,"1,552 sqft",4125 Astoria St,"Northwest, Irving, TX"
168,"$449,900",5bd,3ba,"3,589 sqft",3206 Salinas Ct,"Las Colinas, Irving, TX"
169,"$430,000",4bd,3ba,"3,765 sqft",3108 Wingren Rd,"Las Colinas, Irving, TX"
170,"$464,900",4bd,4ba,"2,998 sqft",1621 Shadow Ln,"Vilbig, Irving, TX"
171,"$575,000",5bd,4ba,"4,426 sqft",2201 Pistachio Dr,"Freeport/Hackberry, Irving, TX"
172,"$249,999",3bd,3ba,"1,364 sqft",111 Seva Ct,"Irving Heights, Irving, TX"
173,"$112,500",2bd,2ba,"1,084 sqft",1821 E Grauwyler Rd #181,"Irving Heights, Irving, TX"
174,"$249,000",4bd,2ba,"1,335 sqft",1811 Dennis St,"MacArthur, Irving, TX"
175,"$799,000",4bd,4ba,"4,824 sqft",400 Sewell Ct,"Cottonwood, Irving, TX"
176,"$470,000",4bd,3ba,"2,667 sqft",5215 Montego Bay Dr,"Northwest, Irving, TX"
177,"$224,900",2bd,3ba,"1,279 sqft",219 Cimarron Trl #3,"Valley Ranch, Irving, TX"
178,"$365,000",4bd,3ba,"2,684 sqft",2906 Pacific Ct,"Las Colinas, Irving, TX"
179,"$424,990",4bd,3ba,"3,300 sqft",1401 N Britain Rd,"Irving Heights, Irving, TX"
180,"$300,000",4bd,3ba,"2,045 sqft",1918 Rockbrook Dr,"North, Arlington, TX"
181,"$579,000",5bd,4ba,"3,209 sqft",3502 Yachtclub Ct,"West, Arlington, TX"
182,"$199,000",3bd,2ba,"1,136 sqft",331 Valley Spring Dr,"Southeast, Arlington, TX"
183,"$219,900",3bd,2ba,"1,575 sqft",6103 Tidewater Dr,"Southeast, Arlington, TX"
184,"$139,900",3bd,2ba,"2,374 sqft",6301 Walnut Springs Dr,"Southwest, Arlington, TX"
185,"$228,000",3bd,3ba,"1,428 sqft",317 Iberis Dr,"Southeast, Arlington, TX"
186,"$280,000",3bd,2ba,"2,119 sqft",3108 Stornoway Trl,"West, Arlington, TX"
187,"$219,900",4bd,2ba,"1,279 sqft",1409 Roanoke St,"East, Arlington, TX"
188,"$250,000",3bd,2ba,"1,661 sqft",2205 Polo Club Ct,"Southwest, Arlington, TX"
189,"$375,000",4bd,3ba,"2,497 sqft",2207 New Mill Ln,"West, Arlington, TX"
190,"$305,000",3bd,2ba,"1,870 sqft",1108 Rocky Canyon Rd,"North, Arlington, TX"
191,"$399,000",4bd,4ba,"3,708 sqft",3608 Antares Way,"West, Arlington, TX"
192,"$579,000",4bd,4ba,"3,393 sqft",5405 Rome Ct,"Southwest, Arlington, TX"
193,"$395,000",4bd,3ba,"2,601 sqft",1803 Tennyson Dr,"West, Arlington, TX"
194,"$224,900",4bd,2ba,"1,924 sqft",2405 Skylark Dr,"East, Arlington, TX"
195,"$300,000",3bd,2ba,"1,589 sqft",9115 Acre Meadows Ln,"Southeast, Arlington, TX"
196,"$289,900",4bd,3ba,"2,327 sqft",3904 Castlehill Ct,"West, Arlington, TX"
197,"$220,000",3bd,2ba,"1,481 sqft",1511 Glenwillow Dr,"Southeast, Arlington, TX"
198,"$320,000",4bd,2ba,"2,134 sqft",514 Gunnison Dr,"North, Arlington, TX"
199,"$290,000",4bd,2ba,"2,527 sqft",1615 Barclay Dr,"Southeast, Arlington, TX"
200,"$240,000",3bd,2ba,"1,592 sqft",4710 Andalusia Trl,"Southwest, Arlington, TX"
201,"$339,900",5bd,3ba,"2,936 sqft",823 Ogden Dr,"Southeast, Arlington, TX"
202,"$385,000",5bd,3ba,"2,723 sqft",3704 Vista Chase Ct,"Southwest, Arlington, TX"
203,"$225,000",3bd,2ba,"1,550 sqft",4004 Cypress Springs Dr,"Southwest, Arlington, TX"
204,"$315,000",4bd,3ba,"2,366 sqft",2105 Oak Bluff Dr,"North, Arlington, TX"
205,"$349,900",3bd,2ba,"2,201 sqft",6702 Saddle Ridge Rd,"West, Arlington, TX"
206,"$245,000",3bd,3ba,"1,502 sqft",2802 Dover Gardens Dr,"Southwest, Arlington, TX"
207,"$279,990",3bd,3ba,"2,206 sqft",7502 Marsland Ln,"Southeast, Arlington, TX"
208,"$334,900",4bd,2ba,"2,231 sqft",9214 Squirrel Run Ct,"Southeast, Arlington, TX"
209,"$249,900",3bd,2ba,"1,750 sqft",5305 Hillcroft Ave,"Southeast, Arlington, TX"
210,"$289,900",3bd,2ba,"1,878 sqft",1909 Rambling Ridge Ln,"Woodlake, Carrollton, TX"
211,"$270,000",3bd,3ba,"1,720 sqft",2109 Via Estrada,"Carrollton, TX"
212,"$275,000",3bd,2ba,"1,444 sqft",3005 Hyde Ct,"Carrollton, TX"
213,"$210,000",3bd,2ba,"1,728 sqft",2035 Clubridge Dr,"Carrollton, TX"
214,"$179,900",2bd,2ba,"1,093 sqft",2640 Via La Paloma,"Carrollton, TX"
215,"$359,900",3bd,3ba,"1,828 sqft",1533 Joy Dr,"Carrollton, TX"
216,"$340,000",4bd,3ba,"1,843 sqft",1352 Marken Ct,"Carrollton, TX"
217,"$544,900",4bd,4ba,"3,072 sqft",4720 Alexander Dr,"Carrollton, TX"
218,"$255,000",3bd,2ba,"1,676 sqft",2105 Yewpon Ct,"Carrollton, TX"
219,"$349,900",3bd,2ba,"1,929 sqft",1513 Bellflower Dr,"Carrollton, TX"
220,"$275,000",3bd,2ba,"1,764 sqft",1704 Mayflower Dr,"Carrollton, TX"
221,"$245,000",3bd,3ba,"2,146 sqft",2119 Via Estrada,"Carrollton, TX"
222,"$365,000",3bd,2ba,"2,580 sqft",1002 Ridgeview Dr,"Ridgeview, Carrollton, TX"
223,"$317,550",3bd,3ba,"1,492 sqft",1305 Dallshan Dr,"Carrollton, TX"
224,"$429,000",3bd,2ba,"2,069 sqft",2152 Spencer Ln,"Carrollton, TX"
225,"$349,900",3bd,3ba,"1,972 sqft",4670 Rhett Ln #I,"Carrollton, TX"
226,"$303,000",3bd,2ba,"1,744 sqft",1514 Cecil Dr,"Carrollton, TX"
227,"$970,000",5bd,6ba,"4,786 sqft",6756 Stallion Ranch Rd,"Frisco, TX"
228,"$409,900",3bd,3ba,"2,431 sqft",2908 Maple Ct,"Woodgate, Carrollton, TX"
229,"$259,900",3bd,2ba,"1,930 sqft",2927 Winterberry Dr,"Carrollton, TX"
230,"$219,500",3bd,2ba,"1,472 sqft",2635 Via Valencia,"Carrollton, TX"
231,"$399,000",3bd,3ba,"2,853 sqft",3725 Canon Gate Cir,"Highlands, Carrollton, TX"
232,"$650,000",5bd,4ba,"4,502 sqft",1508 Prairie Dr,"Carrollton, TX"
233,"$292,500",2bd,3ba,"1,803 sqft",2127 McParland Ct,"Carrollton, TX"
234,"$354,900",3bd,3ba,"2,167 sqft",1901 Greenbrook Dr,"Rohton Park, Carrollton, TX"
235,"$425,000",4bd,2ba,"2,666 sqft",3817 Harrison Dr,"Indian Creek, Carrollton, TX"
236,"$350,000",4bd,3ba,"2,368 sqft",2517 Rosebud Cir,"Carrollton Summertree, Carrollton, TX"
237,"$399,900",4bd,3ba,"2,723 sqft",4216 Eastwood Dr,"Oak Hills, Carrollton, TX"
238,"$398,750",4bd,3ba,"2,347 sqft",1514 Northland St,"Trinity Mills, Carrollton, TX"
239,"$310,000",2bd,3ba,"1,940 sqft",4121 Indian Run Dr,"Indian Creek, Carrollton, TX"
